rewards,std
-1199.6565216247359,-0.079832
-1239.4407575859759,-0.0683082
-1330.7789251415245,-0.0867561
-1284.5735449707167,-0.112065
-1221.5934289267964,-0.131174
-1194.0769938288856,-0.115061
-1341.628203327444,-0.118691
-1266.6993862113545,-0.120408
-1246.0625846523733,-0.0996465
-1261.5591549314624,-0.108454
-1213.5083613314923,-0.101728
-1367.3530418256294,-0.106175
-1143.2269678771158,-0.101008
-1208.574562372916,-0.123972
-1260.6705561070441,-0.128016
-1254.4076636951363,-0.127484
-1248.6932855573941,-0.141887
-1318.202079810877,-0.143816
-1239.1809724327202,-0.156947
-1233.3001441752581,-0.16186
-1253.3921208177157,-0.159974
-1364.5045113788715,-0.160788
-1325.266061148453,-0.161735
-1363.5851316359174,-0.134039
-1506.0754626416781,-0.132693
-1375.9744801054903,-0.177663
-1295.6619033299398,-0.169043
-1248.1386567584054,-0.159679
-1418.3290741297012,-0.159944
-1239.3902998975127,-0.142394
-1185.4699420501684,-0.131589
-1233.1587279284345,-0.147388
-1200.9296352235624,-0.122376
-1230.0497263451393,-0.139878
-1263.072677853592,-0.1331
-1253.1300770085772,-0.119912
-1256.2601175890691,-0.107115
-1181.5739207526005,-0.0879779
-1239.6680578780379,-0.0810576
-1185.954042952601,-0.0979271
-1254.9248742699654,-0.109375
-1199.7955428317548,-0.0990601
-1263.2047908757063,-0.1082
-1262.209688218222,-0.0813059
-1204.5597535896695,-0.101654
-1212.5879072496414,-0.0998558
-1133.9067838010408,-0.104142
-1149.2033429530684,-0.0927467
-1119.4036715071543,-0.0799951
-1124.1992084717363,-0.0755079
-1111.9000467457984,-0.0589834
-1070.7167425032746,-0.0695364
-1172.9518824412419,-0.0891129
-1102.8933003914103,-0.101744
-1100.8087639790233,-0.0718154
-1057.2598223938239,-0.0688504
-1074.3855542587648,-0.0793314
-1053.7477616223973,-0.0703147
-1039.0576723909198,-0.0630879
-1137.0720341798522,-0.0635596
-1066.3827081076936,-0.0564914
-1059.6265712949898,-0.0659211
-1127.3135425126343,-0.060063
-956.86113703342266,-0.057311
-968.75874751803917,-0.056924
-1028.8549966162943,-0.0712769
-1026.0383068540082,-0.0641823
-1008.1011874977936,-0.0446838
-1045.9177560180158,-0.00814736
-979.33935321733338,-0.0209261
-1047.9237675722802,-0.0499923
-966.86021602303754,-0.0648718
-1038.5945831354716,-0.0555361
-1070.6711360082036,-0.0400477
-943.50697696082477,-0.0494676
-977.33918268135062,-0.0383235
-1009.746817063213,-0.00395809
-987.17652419449382,-0.00302897
-944.56971109307563,0.000821433
-950.32662533113523,-0.0232954
-959.0857459633213,-0.0354899
-910.90246462344805,-0.0308221
-960.91126974030192,-0.0375857
-886.97386197853211,-0.0436042
-942.18867766357221,-0.0349945
-943.78534771536545,-0.0337755
-931.6207640033108,-0.0265985
-960.63341412094508,-0.020234
-937.22955846033744,-0.0196632
-962.33144772029084,-0.00791902
-900.04984549399137,-0.0209958
-924.02883252847482,-0.0312748
-919.20853791208424,-0.0443667
-1136.4348906485004,-0.0598504
-1006.8884878785486,-0.0707112
-1091.3484424293715,-0.0788081
-952.90967125520967,-0.0763184
-955.99372317370853,-0.0590963
-914.04337854091375,-0.0446193
-988.85909673059052,-0.0605157
-972.12096210441541,-0.0592722
-982.60222926166057,-0.0645932
-1015.9531839763795,-0.0572784
-1018.0545640489183,-0.0699792
-924.86984672685344,-0.0864645
-915.25656566813598,-0.0545125
-923.67655606180347,-0.0321343
-898.19219891629325,-0.0352576
-947.76466623857573,-0.0303829
-885.64472311387703,-0.0140185
-917.20270211890568,-0.000573385
-943.05061887430202,-0.0132646
-878.62357576688169,-0.0309083
-898.55345964929984,-0.0430499
-887.99821845868826,-0.0166775
-866.95133146757564,-0.0286954
-830.60484234584806,-0.0327795
-862.69019700308695,-0.0347447
-839.36403154368691,-0.0676108
-831.97193396682599,-0.0503203
-768.26875423732236,-0.0516819
-815.21249295483699,-0.0524147
-750.31975634328376,-0.051819
-804.08186201655951,-0.0519476
-808.1359718595229,-0.0260954
-753.0299734625105,-0.0491492
-723.61892198739577,-0.0270703
-802.68005282468278,-0.0409402
-779.61711774821651,-0.0524209
-733.65485646252625,-0.0645275
-718.03487841016999,-0.0766958
-677.7190703880749,-0.0625749
-786.25630871764338,-0.0882713
-704.28402862452435,-0.0577412
-678.10998586055177,-0.0635734
-706.33128017149022,-0.0300322
-645.50483926612878,-0.0266783
-680.54693609189849,-0.0419952
-687.00757964130958,-0.0563824
-648.32463085511881,-0.0498647
-691.46389313844395,-0.0482566
-671.68626161364898,-0.0577701
-595.19431879178342,-0.0490057
-674.05062249002458,-0.0445866
-671.81203260452105,-0.0431577
-725.19066259695376,-0.0414196
-663.88227481715171,-0.038975
-609.28682520778307,-0.042724
-643.72212886529428,-0.0544164
-624.46016594992147,-0.0648606
-629.86403828364337,-0.10118
-612.2085662394569,-0.113865
-562.90597344183061,-0.139431
-631.84212887895831,-0.124176
-649.15502208622149,-0.141609
-531.17517928675545,-0.141597
-656.51994061654614,-0.157545
-616.37139458131401,-0.159095
-563.26676122101617,-0.180798
-550.70541886934632,-0.192737
-579.5263714213113,-0.182075
-637.22733209308581,-0.176949
-535.9836255622854,-0.153033
-539.07794205912785,-0.133734
-486.92960629390836,-0.144475
-540.0741114427633,-0.163638
-512.93838275484222,-0.154249
-559.55948962422224,-0.172657
-543.04986723907018,-0.196889
-543.50458280418263,-0.20368
-539.14595645851057,-0.201556
-512.60029661171075,-0.217018
-548.43029569558053,-0.221181
-506.82043714469256,-0.231966
-468.94978554041626,-0.255797
-519.94105760803416,-0.263493
-487.84738669762993,-0.27836
-493.76018051911552,-0.274818
-444.6337486190061,-0.300731
-514.4754937122276,-0.315087
-428.78145890476287,-0.324414
-459.845787996181,-0.327064
-482.20668371938325,-0.325396
-489.96970753509083,-0.323439
-480.28440278445549,-0.309277
-436.38382877836136,-0.340811
-433.06767331495092,-0.343757
-468.06196037222378,-0.36072
-482.72068651683242,-0.360886
-516.94197082079052,-0.356802
-498.80944114783551,-0.378938
-522.99291361068458,-0.365937
-549.84574172078555,-0.380963
-536.68580706802504,-0.383416
-489.45280936618991,-0.396905
-449.70658984750099,-0.403072
-523.30140292368969,-0.401035
-412.95338857456397,-0.398751
-467.41070179304626,-0.405611
-506.01327930169282,-0.41833
-459.96956710813157,-0.415415
-435.9732424645257,-0.413923
-478.0295631338372,-0.423136
-516.8128049960626,-0.423564
-468.49959600305431,-0.415261
-470.69444698537791,-0.416167
-480.94753344788239,-0.413295
-463.62453526248873,-0.414904
-505.30472108716094,-0.411665
-452.68867700065937,-0.417542
-452.195361044381,-0.401617
-399.89632222140614,-0.401611
-444.99648089393003,-0.401801
-434.08199205435858,-0.399061
-474.41959482196614,-0.399174
-413.54055906412776,-0.418673
-483.74893764897115,-0.423589
-412.76984491865107,-0.422646
-444.89504176086865,-0.424213
-490.7622283730874,-0.414673
-455.86625489777606,-0.428835
-399.30172893241462,-0.434289
-443.56579744114094,-0.434482
-470.93202029541487,-0.440796
-492.07508174084222,-0.459448
-455.43102823647894,-0.465478
-427.04102063118398,-0.463058
-419.14185535449315,-0.467631
-409.43970673243382,-0.476469
-479.85467209356887,-0.484454
-436.55192166818352,-0.4822
-492.89290836069551,-0.4685
-428.27140392164318,-0.468541
-474.97192724786584,-0.472164
-460.91378602679151,-0.457173
-511.56497459710033,-0.456455
-430.8522127417026,-0.456314
-360.94237804616182,-0.461901
-494.85768347894748,-0.476214
-340.89855353707514,-0.474645
-398.57135845980008,-0.484536
-362.37436601679127,-0.482352
-371.85945157192782,-0.48213
-442.16260711527485,-0.48255
-371.83369224641598,-0.462989
-316.82871710716154,-0.434525
-379.27826393701719,-0.448587
-398.85794598806899,-0.434718
-495.24675259788148,-0.422836
-503.36577735676673,-0.460004
-412.38458972910183,-0.438129
-392.55496625930169,-0.442407
-369.47838503088929,-0.462792
-373.9003595469913,-0.462834
-412.97756125070401,-0.45734
-449.27771694317869,-0.467574
-391.38805952217297,-0.472176
-314.12875232164737,-0.474594
-390.97832108608657,-0.481046
-348.83717428874155,-0.482698
-287.10235092618973,-0.457835
-335.78491043825352,-0.
